count_start_date,count_end_date,count_type,cases_suspect,cases_probable,cases_confirmed,deaths_suspected,deaths_probable,deaths_confirmed,contacts,zone,province,sitrep_source,is_aggregate
22/05/2026,22/05/2026,Nouveaux,32.0,,6,,,1.0,87.0,Bunia,Ituri,MVE_SitRep_008_2026-05-23,FALSE
22/05/2026,22/05/2026,Nouveaux,14.0,,7,,,1.0,0.0,Rwampara,Ituri,MVE_SitRep_008_2026-05-23,FALSE
22/05/2026,22/05/2026,Nouveaux,10.0,,1,,,0.0,0.0,Mongbwalu,Ituri,MVE_SitRep_008_2026-05-23,FALSE
22/05/2026,22/05/2026,Nouveaux,2.0,,0,,,0.0,48.0,Bambu,Ituri,MVE_SitRep_008_2026-05-23,FALSE
22/05/2026,22/05/2026,Nouveaux,9.0,,2,,,0.0,207.0,Nyankunde,Ituri,MVE_SitRep_008_2026-05-23,FALSE
22/05/2026,22/05/2026,Nouveaux,1.0,,1,,,0.0,,Nizi,Ituri,MVE_SitRep_008_2026-05-23,FALSE
22/05/2026,22/05/2026,Nouveaux,1.0,,1,,,0.0,,Kilo,Ituri,MVE_SitRep_008_2026-05-23,FALSE
22/05/2026,22/05/2026,Nouveaux,70.0,0.0,18,,,2.0,342.0,,Ituri,MVE_SitRep_008_2026-05-23,TRUE
22/05/2026,22/05/2026,Nouveaux,,,0,,,0.0,,Goma,Nord-Kivu,MVE_SitRep_008_2026-05-23,FALSE
22/05/2026,22/05/2026,Nouveaux,,,0,,,0.0,,Butembo,Nord-Kivu,MVE_SitRep_008_2026-05-23,FALSE
22/05/2026,22/05/2026,Nouveaux,,,0,,,0.0,,Katwa,Nord-Kivu,MVE_SitRep_008_2026-05-23,FALSE
22/05/2026,22/05/2026,Nouveaux,,,1,,,1.0,,Miti Murhesa,Sud-Kivu,MVE_SitRep_008_2026-05-23,FALSE
22/05/2026,22/05/2026,Nouveaux,0.0,0.0,1,,,1.0,0.0,,Sud-Kivu,MVE_SitRep_008_2026-05-23,TRUE
22/05/2026,22/05/2026,Nouveaux,70.0,0.0,19,,,3.0,342.0,Total,,MVE_SitRep_008_2026-05-23,TRUE
,22/05/2026,Cumules,339.0,,10,,88.0,,222.0,Mongbwalu,Ituri,MVE_SitRep_008_2026-05-23,FALSE
,22/05/2026,Cumules,221.0,,32,,63.0,,621.0,Rwampara,Ituri,MVE_SitRep_008_2026-05-23,FALSE
,22/05/2026,Cumules,227.0,,23,,42.0,,290.0,Bunia,Ituri,MVE_SitRep_008_2026-05-23,FALSE
,22/05/2026,Cumules,45.0,,9,,8.0,,365.0,Nyankunde,Ituri,MVE_SitRep_008_2026-05-23,FALSE
,22/05/2026,Cumules,6.0,,1,,2.0,,176.0,Kilo,Ituri,MVE_SitRep_008_2026-05-23,FALSE
,22/05/2026,Cumules,5.0,,2,,1.0,,0.0,Nizi,Ituri,MVE_SitRep_008_2026-05-23,FALSE
,22/05/2026,Cumules,3.0,,1,,0.0,,0.0,ARU,Ituri,MVE_SitRep_008_2026-05-23,FALSE
,22/05/2026,Cumules,0.0,,6,,0.0,,0.0,Echantillons sans fiche,Ituri,MVE_SitRep_008_2026-05-23,FALSE
,22/05/2026,Cumules,,,1,,0.0,,,Goma,Nord-Kivu,MVE_SitRep_008_2026-05-23,FALSE
,22/05/2026,Cumules,13.0,,3,,0.0,,,Katwa,Nord-Kivu,MVE_SitRep_008_2026-05-23,FALSE
,22/05/2026,Cumules,7.0,,2,,0.0,,,Butembo,Nord-Kivu,MVE_SitRep_008_2026-05-23,FALSE
,22/05/2026,Cumules,1.0,,1,,0.0,,,Miti Murhesa,Sud-Kivu,MVE_SitRep_008_2026-05-23,FALSE
,22/05/2026,Cumules,867.0,,91,,204.0,,1674.0,Total,,MVE_SitRep_008_2026-05-23,TRUE
